name                                         | description                                                                          | limitations                                                                                               | voucher_tags                  | voucher_types
Zuppa                                        | zweites Gericht gratis                                                               |                                                                                                           | MAIN_COURSE                   | FOOD
Zur Herknerin                                | zweites Hauptgericht gratis                                                          |                                                                                                           | MAIN_COURSE                   | FOOD
Achtundzwanzig                               | zweiter 28er-Spritzer gratis                                                         |                                                                                                           | ALCOHOL                       | DRINK
Au - Raum für Kunst und Kultur               | bis 20 Euro für die Hälfte                                                           | gilt nur für Getränke unter 10 Euro                                                                       | ALCOHOL                       | DRINK
Beaver Brewing Company                       | zweiter Beer Flight gratis                                                           |                                                                                                           | ALCOHOL                       | DRINK
Bits and Bites                               | zweite hausgemachte Limonade oder zweiter Kaffee gratis                              |                                                                                                           | COFFEE                        | DRINK
Black Dogs Coffee                            | Trinken bis 20 Euro zum halben Preis                                                 |                                                                                                           | COFFEE                        | DRINK
Botanical Garden                             | bis 20 Euro zum halben Preis                                                         | gilt Mo-Do                                                                                                | ALCOHOL                       | DRINK
Brauwerk                                     | zweite geführte Verkostung gratis                                                    |                                                                                                           | GUIDED_TOUR                   | DRINK
Buschenschank & Bioweinbau Obermann          | zweite Flasche Wein ab Hof gratis                                                    | zum Mitnehmen                                                                                             | SHOPPING                      | DRINK
Café Klitzeklein                             | zweiter Kaffee gratis                                                                |                                                                                                           | COFFEE                        | DRINK
Café Zeitgenossin                            | zweiter Cream Tea gratis (2 Scones + Tee)                                            |                                                                                                           | COMBINATION                   | DRINK
Creme de la Creme                            | zweiter Kaffee und zweites Törtchen gratis                                           |                                                                                                           | COMBINATION, COFFEE           | DRINK
Deli Bluem                                   | bis 20 Euro zum halben Preis                                                         |                                                                                                           | COFFEE                        | DRINK
Jetzt Bar & Entertainment                    | zweiter Cocktail gratis                                                              |                                                                                                           | ALCOHOL                       | DRINK
Jonas Reindl Coffee                          | zweiter Kaffee gratis                                                                |                                                                                                           | COFFEE                        | DRINK
Jonas Reindl Coffee                          | zweites Stück Kuchen gratis                                                          |                                                                                                           | PASTRIES                      | FOOD
Kaffeefabrik                                 | bis 10 Euro für die Hälfte                                                           |                                                                                                           | COFFEE                        | DRINK
Kaffeemodul                                  | zweiter Kaffee gratis                                                                |                                                                                                           | COFFEE                        | DRINK
Kaffemik                                     | zweiter Kaffee gratis                                                                |                                                                                                           | COFFEE                        | DRINK
Polkadot Vienna                              | Getränke bis 10 Euro zum halben Preis                                                |                                                                                                           | ALCOHOL                       | DRINK
Tapete                                       | zweites Getränk gratis                                                               |                                                                                                           | ALCOHOL                       | DRINK
Adamah Biohof                                | 10 Euro Rabatt ab einem Wert von 40 Euro auf ein Adamah BioKistl                     |                                                                                                           | SHOPPING                      | TICKET
Adamah Biohof                                | 10 Euro Rabatt auf eine Veranstaltung ab 50 Euro                                     |                                                                                                           | TICKET                        | TICKET
Archäonow                                    | zweites Ticket gratis (Wert 25 Euro)                                                 |                                                                                                           | TICKET                        | TICKET
Archäonow                                    | Gruppenermäßigung 150 Euro statt 250 Euro für 10 Personen                            |                                                                                                           | TICKET                        | TICKET
Arnulf Rainer Museum                         | zweiter Eintritt gratis                                                              |                                                                                                           | TICKET                        | TICKET
Bank Austria Kunstforum Wien                 | Eintritt für die zweite Person gratis                                                |                                                                                                           | TICKET                        | TICKET
Blün                                         | ab einem Einkauf von 40 Euro gibt es 10 Euro Rabatt                                  |                                                                                                           | SHOPPING                      | TICKET
Brut                                         | Eintritt für die zweite Person gratis                                                | gilt für Theater, Tanz- und Performance-Veranstaltungen, gilt nicht für Konzerte und Fremdveranstaltungen | TICKET                        | TICKET
Burg Kino                                    | zweite Kinokarte gratis                                                              |                                                                                                           | TICKET                        | TICKET
Cyberlab                                     | für Fotos ab 40x40cm: zweiter gleichgroßer oder kleinerer Lambda-Fotoprint gratis    |                                                                                                           | SHOPPING                      | TICKET
Dialog im Dunkeln                            | Eintritt für die zweite Person gratis                                                | gilt nur für die Führungen                                                                                | GUIDED_TOUR                   | TICKET
Die Buntique                                 | zweiter 'Die Buntique' Workshop gratis                                               | gilt nicht für Workshops von Gastveranstaltern                                                            | WORKSHOP                      | TICKET
Dritte Mann Museum                           | zweiter Eintritt gratis                                                              |                                                                                                           | TICKET                        | TICKET
Fesch'Markt Wien                             | "Gymbag Edition ""Wüst mi Pflanz'n"" zu zu jeder Wundertüte gratis"                  | solange der Vorrat reicht                                                                                 | SHOPPING                      | TICKET
Fesch'Markt Wien                             | FESCH'tasche mit Getränk gratis                                                      |                                                                                                           | FREE_GIFT                     | TICKET
Gartenbaukino                                | zweites Ticket gratis                                                                | ausgenommen Sonderveranstaltungen                                                                         | TICKET                        | TICKET
Hands Up                                     | 25% Rabatt auf zwei Tickets                                                          | Reservierungen über Kooperationspartner Dialog im Dunkeln unter +43 1 890 6060 oder dialog@imdunkeln.at   | TICKET                        | TICKET
Haus der Musik                               | Eintritt für die zweite Person gratis oder Eintritt für die Hälfte (für eine Person) | gilt nur für regulären Museumseintritt, gilt nicht bei Konzertveranstaltungen                             | TICKET                        | TICKET
Kauf Dich Glücklich                          | 25% Rabatt auf ein Produkt nach Wahl                                                 |                                                                                                           | SHOPPING                      | TICKET
Kauf Dich Glücklich                          | ein Getränk gratis                                                                   |                                                                                                           |                               | DRINK
Kunst Haus Wien Museum Hundertwasser         | zweites Austellungsticket gratis und Ausstellungsplakat gratis                       | gilt beim Kauf eines Vollpreistickets                                                                     | TICKET, FREE_GIFT             | TICKET
Kunsthalle Wien                              | Eintritt für die zweite Person gratis                                                |                                                                                                           | TICKET                        | TICKET
Metro Kinokulturhaus                         | zweites Kinoticket gratis                                                            |                                                                                                           | TICKET                        | TICKET
Metro Kinokulturhaus                         | zweites Auststellungsticket gratis                                                   |                                                                                                           | TICKET                        | TICKET
Metro Kinokulturhaus                         | zweiter Bio-Kaffee gratis                                                            |                                                                                                           | COFFEE                        | DRINK
Mumok                                        | Eintritt für die zweite Person gratis                                                |                                                                                                           | TICKET                        | TICKET
Ottakringer Brauerei                         | zweite Führung mit anschließender Bierverkostung gratis                              | nur mit vorheriger Anmeldung über Homepage                                                                | GUIDED_TOUR, ALCOHOL          | TICKET, DRINK
Pygmalion Theater Wien                       | zweites Ticket gratis                                                                |                                                                                                           | TICKET                        | TICKET
Radio The Label Bar                          | Trinken bis 10 Euro zum halben Preis                                                 |                                                                                                           | ALCOHOL                       | DRINK
Radio The Label Bar                          | 30% Rabatt auf Mode                                                                  |                                                                                                           | SHOPPING                      | TICKET
RE:TREAT - Home for Yoga, Meditation & Vegan | "Zweites ""Lunch & Yoga"" gratis"                                                    |                                                                                                           | WORKSHOP                      | TICKET, FOOD
Schikaneder Kino                             | zweiter Eintritt gratis                                                              |                                                                                                           | TICKET                        | TICKET
Schokomuseum                                 | Eintritt für die zweite Person gratis                                                |                                                                                                           | TICKET                        | TICKET
Sophort                                      | zweite Teilnahme am Polaroid Kreativ-Workshop gratis                                 |                                                                                                           | WORKSHOP                      | TICKET
Sophort                                      | 10% Rabatt auf den Einkauf im Shop                                                   |                                                                                                           | SHOPPING                      | TICKET
Sophort                                      | 10 Euro Rabatt auf jedes Tour-Ticket                                                 |                                                                                                           | TICKET                        | TICKET
Stadtkino im Künstlerhaus                    | zweites Ticket gratis                                                                | ausgenommen Sonderveranstaltungen, Premieren, Vermietungen                                                | TICKET                        | TICKET
Tag                                          | zweite Vollpreiskarte gratis                                                         |                                                                                                           | TICKET                        | TICKET
The Loft                                     | Eintritt für die zweite Person gratis                                                |                                                                                                           | TICKET                        | TICKET
Theater Akzent                               | Eintritt für die zweite Person gratis                                                | gilt nur bei Eigenveranstaltungen                                                                         | TICKET                        | TICKET
Theater im Zentrum                           | 30% Rabatt auf zwei Karten                                                           |                                                                                                           | TICKET                        | TICKET
Top Kino                                     | zweiter Eintritt gratis                                                              |                                                                                                           | TICKET                        | TICKET
Viadukt Screen Prints                        | 20 Euro Nachlass auf die Workshop-Gebühr                                             | nur gegen Voranmeldung, pro Workshop nur ein Gutschein möglich                                            | WORKSHOP                      | TICKET
Volkskundemuseum Wien                        | zweiter Eintritt gratis                                                              |                                                                                                           | TICKET                        | TICKET
Volkstheater                                 | zweite Theaterkarte gratis                                                           | ausgenommen Premieren + Sonderveranstaltungen, einzulösen an der Tageskassa                               | TICKET                        | TICKET
Werk                                         | Eintritt für die zweite Person gratis                                                |                                                                                                           | TICKET                        | TICKET
Werk X                                       | zweite Normalpreiskarte gratis                                                       |                                                                                                           | TICKET                        | TICKET
Wiener Riesenrad                             | 1 Euro Erm. auf ein reg. Erwachsenenticket                                           |                                                                                                           | TICKET                        | TICKET
Wienführung                                  | Führung für die zweite Person gratis                                                 | Treffpunkt und Zeitpunkt je nach Führung, Führungen nur ab drei Vollzahlern                               | GUIDED_TOUR                   | TICKET
WUK Werkstätten und Kulturhaus               | zweites Ticket für WUK performing arts gratis                                        |                                                                                                           | TICKET                        | TICKET
WUK Werkstätten und Kulturhaus               | zweites Getränk an der Bar gratis                                                    |                                                                                                           | ALCOHOL                       | DRINK
Österreichisches Filmmuseum                  | zweiter Eintritt gratis                                                              | nur nach Verfügbarkeit                                                                                    | TICKET                        | TICKET
